,Unnamed: 0,Npoints,lapse1,lapse2,deckchoice,RT1,RT2,choice_onset,press1_onset,info_onset,partner_onset,press2_onset,aff_onset,fix1_list,fix2_list,fix3_list,fix4_list,soc_win,block,duration,frequency,stimaff,stiminf,point_total,word,rating,is_catch,partner,highval_count
59,19,55,0,0,2,0.9073797028459012,0.7514727334496456,366.03774746840514,366.9451648375357,370.02065502034884,373.5204266456417,374.2719260746135,378.5374635085009,1.75,1.75,1.75,2.5,0,3,250,55,1,0,2507,upset,0.0,0,1,68
60,20,57,0,0,2,0.0008473085613331932,0.7513359646100071,383.2871853082474,383.2880801567794,390.27014551985116,394.76978403322533,395.52114669335737,400.7868329639232,4.75,2.75,2.75,3.25,0,3,250,55,1,0,2507,alert,0.0,0,0,69
61,21,59,0,0,2,0.0008414574876951518,0.7679127868259457,406.2865131661947,406.2874083804191,410.2860147278829,414.7692168448011,415.5371559614573,422.80262354815665,1.75,2.75,4.75,2.5,0,3,250,55,1,0,2507,proud,0.0,0,0,70
62,22,54,0,0,2,0.0008462114847134218,0.7513944753436591,427.5523895966453,427.5532833481011,434.53532530687966,438.03505963157977,438.78648043675315,446.05214074318116,4.75,1.75,4.75,2.5,1,3,250,55,1,0,2561,active,0.0,0,1,71
63,23,54,0,0,2,0.21321018774278852,0.7513264566155158,450.8017016384101,451.0149871587223,455.78465197632795,460.28446492482635,461.0358173455802,468.3012951716578,2.75,2.75,4.75,2.5,0,3,250,55,1,0,2561,jittery,0.0,0,1,72
64,24,51,0,0,2,0.0008502340974700928,0.7512149205294918,473.0511292388742,473.05202811001885,477.033896365057,483.53371004493965,484.2849512952994,491.5504700788906,1.75,4.75,4.75,2.5,1,3,250,55,1,0,2612,nervous,0.0,0,1,73
65,25,39,0,0,1,0.0008480399455947918,0.7511593353328863,496.30025002367796,496.3011463349785,500.28315684423796,506.7830118473266,507.5341978781817,511.80002128327936,1.75,4.75,1.75,2.5,1,3,250,55,1,0,2651,jittery,0.0,0,1,73
66,26,43,0,0,1,0.0008443830247415463,0.7513063435508229,516.5496096054148,516.5505022597945,520.532498507062,524.0323644809132,524.7836975199862,530.0493889102409,1.75,1.75,2.75,1.75,1,3,250,55,1,0,2694,alert,0.0,0,1,73
67,27,57,0,0,2,0.0008429202562183491,0.7512679458814091,534.0491943620518,534.0655780988473,541.0319399124019,544.5317411587539,545.2830358001584,549.5486134601751,4.75,1.75,1.75,1.75,1,3,250,55,1,0,2751,attentive,0.0,0,0,74
68,28,38,0,0,1,0.0008341436459886609,0.7513963038036309,553.5485490983674,553.5650597303164,557.5314672553823,562.0311430693482,562.7825660686749,567.0484600523449,1.75,2.75,1.75,2.5,1,3,250,55,1,0,2789,upset,0.0,0,0,74
69,29,40,0,0,1,0.0008414574876951518,0.7513067092422716,571.798059345243,571.8138510265527,575.7809895700957,579.2806013879482,580.0319347927125,584.2974166414033,1.75,1.75,1.75,2.5,1,3,250,55,1,0,2829,inspired,0.0,0,0,74
70,30,43,0,0,1,0.0008385319515582522,0.7521222025925454,589.0472108481828,589.0635741062206,594.0301765451678,600.5300260628746,601.2821742296055,606.5468365623337,2.75,4.75,2.75,3.25,0,3,250,55,1,0,2829,hostile,0.0,0,1,74
71,31,44,0,0,1,0.0008451144085483975,0.7514153197926134,612.0467178952522,612.0633016656175,617.0294455266894,620.5293133290006,621.2807553443154,628.5466259236928,2.75,1.75,4.75,1.75,1,3,250,55,1,0,2873,enthusiastic,0.0,0,1,74
72,32,44,0,0,1,0.000910207600099966,0.7516340036590918,632.5460133894502,632.5469718684052,637.5288258614519,641.028580664909,641.7802406327055,647.0624792241179,2.75,1.75,2.75,3.25,1,3,250,55,1,0,2917,active,0.0,0,0,74
73,33,41,0,0,1,0.0008623019357401063,0.0,652.5453072380333,652.5462185427095,659.5284989327273,0.0,0.0,0.0,4.75,1.75,1.75,1.75,1,3,250,55,1,0,2917,inspired,4.049999999999994,1,1,74
74,34,0,1,0,0,0.0,0.0,670.2947094228975,0.0,0.0,0.0,0.0,0.0,2.75,2.75,1.75,1.75,0,3,250,55,1,0,2917,interested,0.0,0,1,74
75,35,72,0,0,22,0.0,0.7513323076882443,0.0,0.0,0.0,688.0437034953948,688.7950628642975,693.0447413295324,1.75,1.75,1.75,1.75,0,3,250,55,1,0,2917,irritable,-1.2000000000000004,2,0,74
76,36,77,0,0,2,0.5412261143637807,0.7513173143133827,703.5602936653723,704.1100107842593,708.5433460313817,712.0430942523807,712.7944375308325,717.060025430227,2.75,1.75,1.75,2.5,1,3,250,55,1,0,2994,nervous,0.0,0,1,75
77,37,41,0,0,11,0.0,0.7513421813755485,0.0,0.0,0.0,721.0427391653667,721.7941084079558,726.0598323448066,1.75,2.75,1.75,3.25,0,3,250,55,1,0,2994,jittery,-7.499999999999981,2,0,75
78,38,74,0,0,2,0.000835606414511858,0.7514310445521915,739.0593115992777,739.0759125571714,743.0421562521823,746.542099387063,747.2935574928298,751.5587983504356,1.75,1.75,1.75,2.5,1,3,250,55,1,0,3068,irritable,0.0,0,1,76
79,39,76,0,0,2,0.000835972106870031,0.7513794819678878,756.3087417595862,756.3252992001218,760.2914957208542,764.7914249594352,765.5428300398489,769.8081465957175,1.75,2.75,1.75,1.75,1,3,250,55,1,0,3144,determined,0.0,0,1,77
80,0,47,0,0,1,0.5845324681547481,1.7404602819997308,4.816010072622704,5.400580572754278,9.797091723985886,14.281963225272648,16.022450202794516,19.29895071970032,2.75,2.75,1.75,3.25,0,1,1750,55,1,0,0,inspired,0.0,0,1,15
